id,text,category,subcategory,urgency,needs_human
1,경로 타일에 마법사를 놓을 수 없다고 표시되는데 정확히 어디에 놓아야 하나요?,gameplay_guide,placement,low,false
2,적들이 성으로 가는 경로를 우회해서 가는 경우가 있어요. 이건 의도된 건가요?,gameplay_guide,path_rules,medium,true
3,초반 라운드에서 효과적인 배치 전략 추천 부탁드려요.,gameplay_guide,strategy,low,false
4,불 속성 마법사는 물 속성 적에게 약한가요? 상성 표 같은 거 있나요?,gameplay_guide,elemental_synergy,low,false
5,마법사는 길에 올려놓을 수 없다고 하는데 어느 타일이 길인지 잘 모르겠어요.,gameplay_guide,placement,low,false
6,적들이 몰려올 때 어느 타워부터 업그레이드해야 할까요?,gameplay_guide,upgrade_priority,medium,false
7,전략적으로 바람 마법사를 어떤 위치에 두는 게 좋나요?,gameplay_guide,strategy,low,false
8,웨이브 10에서 막히는데 추천 덱(조합) 알려주실 수 있나요?,gameplay_guide,strategy,medium,false
9,전설 마법사 없이도 즐길 수 있는 빌드 예시가 있나요?,gameplay_guide,build_examples,low,false
10,마법사 소환 시 반응(레조넌스) 시스템이 어떻게 작동하는지 쉽게 설명해 주세요.,gameplay_guide,mechanics,low,false
11,돌 속성 마법사는 어떤 보조 장비를 우선으로 장착해야 할까요?,gameplay_guide,equipment_recommendation,low,false
12,적 HP가 보이지 않을 때 공격 타이밍을 어떻게 파악하나요?,gameplay_guide,info_display,low,false
13,맵에서 특정 타일이 손상되어 보이는데 플레이에 영향을 주나요?,gameplay_guide,map_features,medium,true
14,번개 마법사와 불 마법사 조합이 효과적인 상황을 알려주세요.,gameplay_guide,elemental_synergy,low,false
15,적의 이동 경로를 막을 수 있는 팁이 있을까요?,gameplay_guide,blocking_tactics,medium,false
16,마법사 레벨업에 필요한 경험치는 어떻게 얻나요?,wizard_growth,leveling,low,false
17,레조넌스 시스템으로 전설 마법사를 만드는 방법을 자세히 알려주세요.,wizard_growth,resonance,medium,false
18,재능 트리에서 어떤 선택이 광역 딜에 유리한가요?,wizard_growth,talent,low,false
19,전설 마법사 성장 한계가 있나요? 레벨 캡이 궁금합니다.,wizard_growth,level_cap,medium,false
20,성장 슬롯에 아이템을 장착하면 어떤 보너스를 받나요?,wizard_growth,equipment_effects,low,false
21,마법사 합성 대신 레조넌스를 사용하는 이유가 뭐죠?,wizard_growth,resonance,low,false
22,물 마법사의 추천 스탯 분배 알려주세요.,wizard_growth,stat_priority,low,false
23,레벨업 시 스킬 포인트를 자동 분배할 수 있나요?,wizard_growth,auto_alloc,low,false
24,전설 마법사 전용 성장 경로 예시를 보여주세요.,wizard_growth,legendary_path,medium,false
25,레조넌스 실패 시 아이템이나 비용이 소비되나요?,wizard_growth,resonance_fail,high,true
26,마법사 전용 퀘스트로 얻는 보상이 무엇인가요?,wizard_growth,quests,low,false
27,레벨업 보너스가 팀 전체에 적용되나요 아니면 개별 마법사만 적용되나요?,wizard_growth,team_effects,medium,false
28,전설 마법사의 경험치 획득량이 일반 마법사와 다른가요?,wizard_growth,experience_rates,low,false
29,초보자용 성장 가이드를 추천해 주세요.,wizard_growth,beginner_guide,low,false
30,레조넌스 관련 설명에서 예시가 더 필요해요.,wizard_growth,documentation,low,false
31,장비 인벤토리에서 아이템이 사라졌어요. 어디로 갔나요?,equipment_inventory,item_loss,high,true
32,마법사에게 장비를 장착하는 방법을 알려주세요.,equipment_inventory,equip_slots,low,false
33,장비 전환 시 기존 능력치가 보존되나요?,equipment_inventory,switching,low,false
34,장비 설명에 수치가 안 적혀 있는데 어디서 확인하나요?,equipment_inventory,item_stats,medium,false
35,강화 실패 확률과 비용이 궁금합니다.,equipment_inventory,upgrade_costs,low,false
36,장비가 인벤토리에서 겹쳐서 표시돼서 구분이 안 됩니다.,equipment_inventory,ui_bug,medium,true
37,희귀 장비는 어떻게 획득하나요? 드랍 위치 알려주세요.,equipment_inventory,drop_sources,low,false
38,장비 분해 시스템이 있나요? 보상은 어떤가요?,equipment_inventory,crafting,low,false
39,장비 장착 슬롯 수가 부족한데 슬롯을 늘리는 방법이 있나요?,equipment_inventory,equip_slots,medium,false
40,장비 착용 후 능력치가 반영되지 않는 것 같아요.,equipment_inventory,equip_apply_bug,high,true
41,타워 층 수가 올라가면 적이 강해지나요?,tower_progress,floor_difficulty,medium,false
42,다음 층 잠금 해제 조건이 뭐예요? 일정 점수인가요?,tower_progress,unlock_conditions,low,false
43,층 업그레이드 비용이 과도하다고 생각하는데 조정 계획 있나요?,tower_progress,upgrade_costs,medium,true
44,타워 진행 시 보상이 초기화되나요? 리셋 규칙이 궁금합니다.,tower_progress,reset_rules,medium,false
45,특정 층에서 버그로 적이 멈춰있어요.,tower_progress,progress_bug,high,true
46,층 보스의 공격 패턴 예측 팁이 있나요?,tower_progress,boss_tactics,low,false
47,타워 층 수가 표시와 실제가 다릅니다.,tower_progress,ui_bug,high,true
48,진행 보상으로 얻는 경험치가 균형이 맞지 않는 것 같아요.,tower_progress,reward_balance,medium,true
49,일부 층에서 몬스터 스폰이 너무 많아요. 밸런스 조정 가능한가요?,tower_progress,spawn_rates,medium,true
50,타워 난이도별 공략 추천을 받을 수 있을까요?,tower_progress,strategy,low,false
51,스킬 쿨타임이 아이콘에 표시가 안 돼요. 버그인가요?,skill_combat,cooldown_display,medium,true
52,스킬 연계로 불과 번개가 시너지를 내는 조합 예시가 궁금합니다.,skill_combat,skill_synergy,low,false
53,스킬에 관통 효과가 있나요? 몬스터 군중 제어 관련해서요.,skill_combat,mechanics,low,false
54,스킬 레벨업 시 데미지 증가량 계산법 알려주세요.,skill_combat,damage_formula,low,false
55,특정 스킬 사용 시 게임이 멈추는 현상이 있어요.,skill_combat,crash,high,true
56,스킬 우선순위 설정 기능이 있나요? 자동 사용 관련.,skill_combat,auto_use,low,false
57,스킬 상호작용으로 의도치 않은 연쇄 효과가 발생합니다.,skill_combat,interaction_bug,high,true
58,스킬 데미지가 표시된 값과 실제 효과가 달라요.,skill_combat,display_mismatch,medium,true
59,범위형 스킬 범위가 좁아진 것 같은데 패치 영향인가요?,skill_combat,range_change,medium,false
60,스킬 설명에 오타가 있어요. 수정 요청합니다.,skill_combat,documentation,low,false
61,게임이 특정 상황에서 크래시가 납니다. 재현 방법 필요하시면 알려드릴게요.,bug_report,crash,high,true
62,마법사 배치 후 간헐적으로 클릭 입력을 인식하지 못합니다.,bug_report,input_issue,high,true
63,저장된 진행도가 사라졌어요. 이건 버그인가요?,bug_report,save_loss,high,true
64,그래픽이 깨져 보이는 현상이 자주 발생합니다.,bug_report,visual_glitch,medium,true
65,레조넌스 작동 후 전설 마법사가 생성되지 않아요.,bug_report,resonance_bug,high,true
66,인벤토리 필터가 동작하지 않습니다. 정렬이 안 돼요.,bug_report,ui_bug,medium,true
67,적 경로에 갑자기 소환 포인트가 생겨서 막히거나 이상하게 움직여요.,bug_report,path_spawn_bug,high,true
68,프레임 드랍이 심한데 특정 상황에서만 발생해요.,bug_report,performance,medium,true
69,업데이트 후 일부 능력치 계산이 바뀌었는데 공지에 안 나왔어요.,bug_report,balancing_change,medium,true
70,튜토리얼이 끝난 뒤 다음 단계로 넘어가지 않습니다.,bug_report,tutorial_block,high,true
71,번개 마법사가 너무 강한 것 같아요. 특정 조합만 쓰면 게임이 쉽습니다.,feedback_balance,overpowered,medium,true
72,초반 골드 획득량이 적어 게임이 지루해요. 경제 개선 부탁드립니다.,feedback_balance,economy,medium,true
73,일부 장비가 성능에 비해 너무 흔하게 나옵니다. 드랍율 조정 제안합니다.,feedback_balance,drop_rate,low,true
74,타워 업그레이드 비용 대비 효율이 낮은 것 같습니다.,feedback_balance,upgrade_efficiency,medium,true
75,전설 마법사 등장 확률이 낮아 너무 운 요소가 큽니다.,feedback_balance,rarity,low,true
76,특정 스킬 조합이 지나치게 강력해요. 밸런스 패치 필요합니다.,feedback_balance,skill_combo,medium,true
77,경험치 획득량이 레벨에 비해 너무 적습니다. 성장 속도 조정 가능할까요?,feedback_balance,experience_rates,low,true
78,일부 덱이 메타적으로 너무 우세해 다양성이 떨어집니다.,feedback_balance,meta_diversity,medium,true
79,장비 업그레이드 비용이 게임플레이에 비해 과도하다고 느껴집니다.,feedback_balance,equipment_costs,medium,true
80,레조넌스 보너스가 체감되지 않아요. 수치 확인 부탁드립니다.,feedback_balance,resonance_effects,low,true
81,마을 상점에서 특정 장비가 재고에 안 떠요. 판매 로직이 문제인가요?,equipment_inventory,shop_stock,medium,true
82,장비 업그레이드 시 UI가 멈추고 진행이 안 됩니다.,equipment_inventory,upgrade_ui_bug,high,true
83,인벤토리 최대치가 너무 낮아서 자주 정리해야 합니다.,equipment_inventory,inventory_size,low,true
84,장비에 붙은 옵션이 전투에 반영되지 않는 것 같습니다.,equipment_inventory,equip_apply_bug,high,true
85,장비 수치 표기와 실제 효과가 달라요. 예: 공격력 +10인데 변화 없음.,equipment_inventory,item_stats_mismatch,medium,true
86,장비 얻는 이벤트가 잘못 작동하는 것 같아요. 보상을 못 받았습니다.,equipment_inventory,event_bug,high,true
87,스테이지 보상으로 주는 장비가 과하게 강한 편이에요. 밸런스 확인 바랍니다.,equipment_inventory,reward_balance,low,true
88,장비 필터에서 희귀도 기준이 작동하지 않습니다.,equipment_inventory,filter_bug,medium,true
89,타워 진행 중 보상이 특정 상황에서 지급되지 않습니다.,tower_progress,reward_bug,high,true
90,층 보스 패턴이 한 번 깨면 다시는 등장하지 않는 버그가 있어요.,tower_progress,boss_spawn_bug,high,true
91,스킬 시전 시 사운드가 출력되지 않습니다.,skill_combat,sound_bug,low,true
92,스킬 트리 중 특정 분기가 적용되지 않는 것 같아요.,skill_combat,skill_tree_bug,medium,true
93,광역 스킬이 특정 몬스터에 먹히지 않습니다. 판정 문제인가요?,skill_combat,hitbox_issue,medium,true
94,스킬 파티클이 화면에 남아 프레임을 잡아먹습니다.,skill_combat,performance,medium,true
95,게임 내 채팅창에서 특수문자 입력 시 강제 종료됩니다.,bug_report,chat_crash,high,true
96,레벨 보상이 중복 지급되는 경우가 있습니다. 확인 부탁드립니다.,bug_report,reward_duplication,high,true
97,전설 마법사 합성 시 재료가 소모되었는데 아무 일도 일어나지 않았어요.,bug_report,resonance_fail,high,true
98,밸런스 패치 후 일부 스킬이 설명과 다르게 작동해요.,feedback_balance,patch_effects,medium,true
99,초보자용 추천 빌드가 업데이트되지 않았습니다. 가이드 반영 부탁드려요.,gameplay_guide,beginner_guide,low,false
100,플레이 중 간헐적으로 소리가 끊깁니다. 사운드 재생 문제인 듯합니다.,bug_report,sound_glitch,medium,true
