id,text,expected_category,rule_predicted_category,tfidf_predicted_category,rule_correct,tfidf_correct,comparison_type
1,경로 타일에 마법사를 놓을 수 없다고 표시되는데 정확히 어디에 놓아야 하나요?,gameplay_guide,gameplay_guide,wizard_acquisition,true,false,rule_only_correct
2,적들이 성으로 가는 경로를 우회해서 가는 경우가 있어요. 이건 의도된 건가요?,gameplay_guide,gameplay_guide,bug_report,true,false,rule_only_correct
3,초반 라운드에서 효과적인 배치 전략 추천 부탁드려요.,gameplay_guide,gameplay_guide,gameplay_guide,true,true,both_correct
4,불 속성 마법사는 물 속성 적에게 약한가요? 상성 표 같은 거 있나요?,gameplay_guide,gameplay_guide,wizard_acquisition,true,false,rule_only_correct
5,마법사는 길에 올려놓을 수 없다고 하는데 어느 타일이 길인지 잘 모르겠어요.,gameplay_guide,gameplay_guide,gameplay_guide,true,true,both_correct
6,적들이 몰려올 때 어느 타워부터 업그레이드해야 할까요?,gameplay_guide,tower_progress,gameplay_guide,false,true,tfidf_only_correct
7,전략적으로 바람 마법사를 어떤 위치에 두는 게 좋나요?,gameplay_guide,gameplay_guide,wizard_acquisition,true,false,rule_only_correct
8,웨이브 10에서 막히는데 추천 덱(조합) 알려주실 수 있나요?,gameplay_guide,gameplay_guide,gameplay_guide,true,true,both_correct
9,전설 마법사 없이도 즐길 수 있는 빌드 예시가 있나요?,gameplay_guide,gameplay_guide,wizard_growth,true,false,rule_only_correct
10,마법사 소환 시 반응(레조넌스) 시스템이 어떻게 작동하는지 쉽게 설명해 주세요.,gameplay_guide,wizard_acquisition,wizard_growth,false,false,both_wrong
11,돌 속성 마법사는 어떤 조합에서 우선 배치해야 할까요?,gameplay_guide,gameplay_guide,gameplay_guide,true,true,both_correct
12,적 HP가 보이지 않을 때 공격 타이밍을 어떻게 파악하나요?,gameplay_guide,gameplay_guide,wizard_acquisition,true,false,rule_only_correct
13,맵에서 특정 타일이 손상되어 보이는데 플레이에 영향을 주나요?,gameplay_guide,gameplay_guide,gameplay_guide,true,true,both_correct
14,번개 마법사와 불 마법사 조합이 효과적인 상황을 알려주세요.,gameplay_guide,skill_combat,wizard_growth,false,false,both_wrong
15,적의 이동 경로를 막을 수 있는 팁이 있을까요?,gameplay_guide,gameplay_guide,gameplay_guide,true,true,both_correct
16,마법사 레벨업에 필요한 경험치는 어떻게 얻나요?,wizard_growth,wizard_acquisition,wizard_acquisition,false,false,both_wrong
17,레조넌스 시스템으로 전설 마법사를 만드는 방법을 자세히 알려주세요.,wizard_growth,wizard_growth,wizard_growth,true,true,both_correct
18,재능 트리에서 어떤 선택이 광역 딜에 유리한가요?,wizard_growth,wizard_growth,gameplay_guide,true,false,rule_only_correct
19,전설 마법사 성장 한계가 있나요? 레벨 캡이 궁금합니다.,wizard_growth,wizard_growth,wizard_growth,true,true,both_correct
20,성장 단계가 오르면 어떤 보너스를 받나요?,wizard_growth,gameplay_guide,wizard_growth,false,true,tfidf_only_correct
21,마법사 합성 대신 레조넌스를 사용하는 이유가 뭐죠?,wizard_growth,wizard_growth,wizard_growth,true,true,both_correct
22,물 마법사의 추천 스탯 분배 알려주세요.,wizard_growth,gameplay_guide,wizard_growth,false,true,tfidf_only_correct
23,레벨업 시 스킬 포인트를 자동 분배할 수 있나요?,wizard_growth,wizard_growth,skill_combat,true,false,rule_only_correct
24,전설 마법사 전용 성장 경로 예시를 보여주세요.,wizard_growth,gameplay_guide,wizard_growth,false,true,tfidf_only_correct
25,레조넌스 실패 시 재화나 재료가 소비되나요?,wizard_growth,wizard_growth,wizard_growth,true,true,both_correct
26,마법사 전용 퀘스트로 얻는 보상이 무엇인가요?,wizard_growth,wizard_acquisition,tower_progress,false,false,both_wrong
27,레벨업 보너스가 팀 전체에 적용되나요 아니면 개별 마법사만 적용되나요?,wizard_growth,wizard_growth,wizard_growth,true,true,both_correct
28,전설 마법사의 경험치 획득량이 일반 마법사와 다른가요?,wizard_growth,wizard_acquisition,feedback_balance,false,false,both_wrong
29,초보자용 성장 가이드를 추천해 주세요.,wizard_growth,gameplay_guide,gameplay_guide,false,false,both_wrong
30,레조넌스 관련 설명에서 예시가 더 필요해요.,wizard_growth,wizard_growth,wizard_growth,true,true,both_correct
31,마법사는 어떻게 획득하나요?,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
32,랜덤 마법사 뽑기는 어떻게 진행되나요?,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
33,전설 마법사는 뽑기에서 나오나요?,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
34,같은 마법사를 또 뽑으면 어떻게 되나요?,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
35,특수 뽑기권은 어디에 사용하나요?,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
36,마법사 등급별 등장 확률이 있나요?,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
37,원하는 속성 마법사를 선택해서 얻을 수 있나요?,wizard_acquisition,wizard_acquisition,gameplay_guide,true,false,rule_only_correct
38,무료 뽑기 기회는 하루에 몇 번 제공되나요?,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
39,뽑기 결과에서 이미 보유한 마법사가 표시되지 않아요.,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
40,마법사 획득 연출이 끝나지 않고 화면이 멈춰요.,wizard_acquisition,bug_report,wizard_acquisition,false,true,tfidf_only_correct
41,타워 층 수가 올라가면 적이 강해지나요?,tower_progress,tower_progress,tower_progress,true,true,both_correct
42,다음 층 잠금 해제 조건이 뭐예요? 일정 점수인가요?,tower_progress,tower_progress,tower_progress,true,true,both_correct
43,층 업그레이드 비용이 과도하다고 생각하는데 조정 계획 있나요?,tower_progress,tower_progress,feedback_balance,true,false,rule_only_correct
44,타워 진행 시 보상이 초기화되나요? 리셋 규칙이 궁금합니다.,tower_progress,tower_progress,tower_progress,true,true,both_correct
45,특정 층에서 버그로 적이 멈춰있어요.,tower_progress,bug_report,tower_progress,false,true,tfidf_only_correct
46,층 보스의 공격 패턴 예측 팁이 있나요?,tower_progress,tower_progress,tower_progress,true,true,both_correct
47,타워 층 수가 표시와 실제가 다릅니다.,tower_progress,tower_progress,tower_progress,true,true,both_correct
48,진행 보상으로 얻는 경험치가 균형이 맞지 않는 것 같아요.,tower_progress,wizard_acquisition,wizard_acquisition,false,false,both_wrong
49,일부 층에서 몬스터 스폰이 너무 많아요. 밸런스 조정 가능한가요?,tower_progress,tower_progress,feedback_balance,true,false,rule_only_correct
50,타워 난이도별 공략 추천을 받을 수 있을까요?,tower_progress,tower_progress,gameplay_guide,true,false,rule_only_correct
51,스킬 쿨타임이 아이콘에 표시가 안 돼요. 버그인가요?,skill_combat,bug_report,skill_combat,false,true,tfidf_only_correct
52,스킬 연계로 불과 번개가 시너지를 내는 조합 예시가 궁금합니다.,skill_combat,skill_combat,skill_combat,true,true,both_correct
53,스킬에 관통 효과가 있나요? 몬스터 군중 제어 관련해서요.,skill_combat,tower_progress,skill_combat,false,true,tfidf_only_correct
54,스킬 레벨업 시 데미지 증가량 계산법 알려주세요.,skill_combat,skill_combat,wizard_growth,true,false,rule_only_correct
55,특정 스킬 사용 시 게임이 멈추는 현상이 있어요.,skill_combat,bug_report,skill_combat,false,true,tfidf_only_correct
56,스킬 우선순위 설정 기능이 있나요? 자동 사용 관련.,skill_combat,skill_combat,skill_combat,true,true,both_correct
57,스킬 상호작용으로 의도치 않은 연쇄 효과가 발생합니다.,skill_combat,skill_combat,skill_combat,true,true,both_correct
58,스킬 데미지가 표시된 값과 실제 효과가 달라요.,skill_combat,skill_combat,skill_combat,true,true,both_correct
59,범위형 스킬 범위가 좁아진 것 같은데 패치 영향인가요?,skill_combat,skill_combat,skill_combat,true,true,both_correct
60,스킬 설명에 오타가 있어요. 수정 요청합니다.,skill_combat,skill_combat,skill_combat,true,true,both_correct
61,게임이 특정 상황에서 크래시가 납니다. 재현 방법 필요하시면 알려드릴게요.,bug_report,bug_report,skill_combat,true,false,rule_only_correct
62,마법사 배치 후 간헐적으로 클릭 입력을 인식하지 못합니다.,bug_report,gameplay_guide,bug_report,false,true,tfidf_only_correct
63,저장된 진행도가 사라졌어요. 이건 버그인가요?,bug_report,bug_report,tower_progress,true,false,rule_only_correct
64,그래픽이 깨져 보이는 현상이 자주 발생합니다.,bug_report,gameplay_guide,skill_combat,false,false,both_wrong
65,레조넌스 작동 후 전설 마법사가 생성되지 않아요.,bug_report,wizard_growth,wizard_growth,false,false,both_wrong
66,마법사 목록 필터가 동작하지 않습니다. 정렬이 안 돼요.,bug_report,bug_report,wizard_acquisition,true,false,rule_only_correct
67,적 경로에 갑자기 소환 포인트가 생겨서 막히거나 이상하게 움직여요.,bug_report,wizard_acquisition,gameplay_guide,false,false,both_wrong
68,프레임 드랍이 심한데 특정 상황에서만 발생해요.,bug_report,gameplay_guide,tower_progress,false,false,both_wrong
69,업데이트 후 일부 능력치 계산이 바뀌었는데 공지에 안 나왔어요.,bug_report,gameplay_guide,bug_report,false,true,tfidf_only_correct
70,튜토리얼이 끝난 뒤 다음 단계로 넘어가지 않습니다.,bug_report,gameplay_guide,tower_progress,false,false,both_wrong
71,번개 마법사가 너무 강한 것 같아요. 특정 조합만 쓰면 게임이 쉽습니다.,feedback_balance,feedback_balance,feedback_balance,true,true,both_correct
72,초반 골드 획득량이 적어 게임이 지루해요. 경제 개선 부탁드립니다.,feedback_balance,wizard_acquisition,feedback_balance,false,true,tfidf_only_correct
73,일부 희귀 마법사가 성능에 비해 너무 자주 나옵니다. 등장 확률 조정 제안합니다.,feedback_balance,wizard_acquisition,feedback_balance,false,true,tfidf_only_correct
74,타워 업그레이드 비용 대비 효율이 낮은 것 같습니다.,feedback_balance,tower_progress,tower_progress,false,false,both_wrong
75,전설 마법사 등장 확률이 낮아 너무 운 요소가 큽니다.,feedback_balance,wizard_acquisition,wizard_acquisition,false,false,both_wrong
76,특정 스킬 조합이 지나치게 강력해요. 밸런스 패치 필요합니다.,feedback_balance,skill_combat,skill_combat,false,false,both_wrong
77,경험치 획득량이 레벨에 비해 너무 적습니다. 성장 속도 조정 가능할까요?,feedback_balance,wizard_acquisition,feedback_balance,false,true,tfidf_only_correct
78,일부 덱이 메타적으로 너무 우세해 다양성이 떨어집니다.,feedback_balance,gameplay_guide,feedback_balance,false,true,tfidf_only_correct
79,마법사 성장 비용이 게임플레이에 비해 과도하다고 느껴집니다.,feedback_balance,gameplay_guide,tower_progress,false,false,both_wrong
80,레조넌스 보너스가 체감되지 않아요. 수치 확인 부탁드립니다.,feedback_balance,wizard_growth,bug_report,false,false,both_wrong
81,이벤트 보상으로 주는 뽑기권이 지급되지 않았어요.,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
82,뽑기 진행 중 UI가 멈추고 진행이 안 됩니다.,wizard_acquisition,bug_report,bug_report,false,false,both_wrong
83,보유 마법사 목록에서 새로 얻은 마법사를 찾기 어렵습니다.,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
84,전설 마법사를 뽑았는데 보유 목록에 추가되지 않았습니다.,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
85,뽑기 확률 표기와 실제 결과가 다른 것 같아요.,wizard_acquisition,wizard_acquisition,skill_combat,true,false,rule_only_correct
86,마법사 획득 이벤트가 잘못 작동하는 것 같아요. 보상을 못 받았습니다.,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
87,스테이지 보상으로 주는 뽑기권 수가 과하게 많은 편이에요. 밸런스 확인 바랍니다.,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
88,마법사 목록 필터에서 등급 기준이 작동하지 않습니다.,wizard_acquisition,wizard_acquisition,wizard_acquisition,true,true,both_correct
89,타워 진행 중 보상이 특정 상황에서 지급되지 않습니다.,tower_progress,tower_progress,bug_report,true,false,rule_only_correct
90,층 보스 패턴이 한 번 깨면 다시는 등장하지 않는 버그가 있어요.,tower_progress,bug_report,tower_progress,false,true,tfidf_only_correct
91,스킬 시전 시 사운드가 출력되지 않습니다.,skill_combat,skill_combat,skill_combat,true,true,both_correct
92,스킬 트리 중 특정 분기가 적용되지 않는 것 같아요.,skill_combat,skill_combat,tower_progress,true,false,rule_only_correct
93,광역 스킬이 특정 몬스터에 먹히지 않습니다. 판정 문제인가요?,skill_combat,tower_progress,skill_combat,false,true,tfidf_only_correct
94,스킬 파티클이 화면에 남아 프레임을 잡아먹습니다.,skill_combat,skill_combat,skill_combat,true,true,both_correct
95,게임 내 채팅창에서 특수문자 입력 시 강제 종료됩니다.,bug_report,gameplay_guide,bug_report,false,true,tfidf_only_correct
96,레벨 보상이 중복 지급되는 경우가 있습니다. 확인 부탁드립니다.,bug_report,wizard_acquisition,feedback_balance,false,false,both_wrong
97,전설 마법사 합성 시 재료가 소모되었는데 아무 일도 일어나지 않았어요.,bug_report,wizard_growth,wizard_growth,false,false,both_wrong
98,밸런스 패치 후 일부 스킬이 설명과 다르게 작동해요.,feedback_balance,skill_combat,skill_combat,false,false,both_wrong
99,초보자용 추천 빌드가 업데이트되지 않았습니다. 가이드 반영 부탁드려요.,gameplay_guide,gameplay_guide,bug_report,true,false,rule_only_correct
100,플레이 중 간헐적으로 소리가 끊깁니다. 사운드 재생 문제인 듯합니다.,bug_report,gameplay_guide,skill_combat,false,false,both_wrong
