id,text,predicted_category,urgency,needs_human,suggested_response_type,routing_reason,response_draft,internal_note
template_demo_001,처음 시작하면 마법사를 어느 위치에 두는 게 좋나요?,gameplay_guide,low,false,guide_answer,"플레이 방법, 배치, 조합, 운영 팁 문의로 판단해 guide 답변으로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 플레이 방법과 운영 팁에 가까운 문의로 확인됩니다. 마법사는 적 이동 경로를 고려해 공격이 자주 닿는 위치에 배치하고, 초반에는 안정적으로 버틸 수 있는 조합을 먼저 구성해 보세요. 상황에 따라 속성 조합과 배치 위치를 바꾸면 더 안정적인 진행에 도움이 됩니다.","자동 안내 가능: 플레이 방법과 운영 팁 중심의 문의입니다. predicted_category=gameplay_guide, urgency=low."
template_demo_002,불 마법사와 번개 마법사를 같이 쓰는 조합이 좋은 상황을 알려주세요.,gameplay_guide,low,false,guide_answer,"플레이 방법, 배치, 조합, 운영 팁 문의로 판단해 guide 답변으로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 플레이 방법과 운영 팁에 가까운 문의로 확인됩니다. 마법사는 적 이동 경로를 고려해 공격이 자주 닿는 위치에 배치하고, 초반에는 안정적으로 버틸 수 있는 조합을 먼저 구성해 보세요. 상황에 따라 속성 조합과 배치 위치를 바꾸면 더 안정적인 진행에 도움이 됩니다.","자동 안내 가능: 플레이 방법과 운영 팁 중심의 문의입니다. predicted_category=gameplay_guide, urgency=low."
template_demo_003,전설 마법사는 소환으로만 얻을 수 있나요?,wizard_acquisition,low,false,acquisition_answer,"마법사 소환, 획득, 등급, 등장 확률 문의로 판단해 획득 안내로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 마법사 획득, 소환, 등급 또는 등장 확률 안내에 가까운 문의로 확인됩니다. 마법사 획득은 게임 내 소환과 획득 규칙에 따라 처리되며, 등급이나 등장 결과는 정해진 획득 방식에 따라 달라질 수 있습니다. 정확한 수치나 조건은 현재 게임 내 안내와 관련 가이드 기준으로 확인하는 것이 좋습니다.","자동 안내 가능: 마법사 획득 또는 소환 규칙 문의입니다. predicted_category=wizard_acquisition, urgency=low."
template_demo_004,소환 티켓을 쓰면 등급 확률이 어떻게 적용되는지 궁금합니다.,wizard_acquisition,low,false,acquisition_answer,"마법사 소환, 획득, 등급, 등장 확률 문의로 판단해 획득 안내로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 마법사 획득, 소환, 등급 또는 등장 확률 안내에 가까운 문의로 확인됩니다. 마법사 획득은 게임 내 소환과 획득 규칙에 따라 처리되며, 등급이나 등장 결과는 정해진 획득 방식에 따라 달라질 수 있습니다. 정확한 수치나 조건은 현재 게임 내 안내와 관련 가이드 기준으로 확인하는 것이 좋습니다.","자동 안내 가능: 마법사 획득 또는 소환 규칙 문의입니다. predicted_category=wizard_acquisition, urgency=low."
template_demo_005,마법사 레벨업에 필요한 경험치는 어디에서 얻나요?,wizard_growth,low,false,growth_answer,"레벨업, 경험치, 성장 재료, 레조넌스 문의로 판단해 성장 안내로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 마법사 성장, 레벨업, 경험치, 성장 재료 또는 레조넌스 관련 문의로 확인됩니다. 이미 보유한 마법사를 강화하거나 성장시키는 경우에는 성장 재료, 경험치, 성장 단계 조건을 함께 확인해 주세요. 레조넌스나 성장 보너스는 획득 문의와 구분되는 성장 시스템으로 안내하는 것이 적절합니다.","자동 안내 가능: 성장, 경험치, 레조넌스 안내 문의입니다. predicted_category=wizard_growth, urgency=low."
template_demo_006,레조넌스 성장 보너스가 어떤 기준으로 적용되나요?,gameplay_guide,low,false,guide_answer,"플레이 방법, 배치, 조합, 운영 팁 문의로 판단해 guide 답변으로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 플레이 방법과 운영 팁에 가까운 문의로 확인됩니다. 마법사는 적 이동 경로를 고려해 공격이 자주 닿는 위치에 배치하고, 초반에는 안정적으로 버틸 수 있는 조합을 먼저 구성해 보세요. 상황에 따라 속성 조합과 배치 위치를 바꾸면 더 안정적인 진행에 도움이 됩니다.","자동 안내 가능: 플레이 방법과 운영 팁 중심의 문의입니다. predicted_category=gameplay_guide, urgency=low."
template_demo_007,다음 층 잠금 해제 조건을 알고 싶습니다.,tower_progress,low,false,tower_progress_answer,"층 진행, 잠금 해제, 보스, 층 보상 문의로 판단해 타워 진행 안내로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 층 진행, 잠금 해제, 보스, 층 보상 또는 타워 진행 조건에 가까운 문의로 확인됩니다. 다음 층 진행 여부는 현재 층 진행 상태와 조건 충족 여부에 따라 달라질 수 있습니다. 보스 층이나 보상 조건이 궁금한 경우에는 현재 도전 중인 층과 진행 상황을 함께 확인해 주세요.","자동 안내 가능: 층 진행과 보상 조건 안내 문의입니다. predicted_category=tower_progress, urgency=low."
template_demo_008,보스 층을 준비할 때 어떤 마법사를 먼저 강화해야 하나요?,tower_progress,low,false,tower_progress_answer,"층 진행, 잠금 해제, 보스, 층 보상 문의로 판단해 타워 진행 안내로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 층 진행, 잠금 해제, 보스, 층 보상 또는 타워 진행 조건에 가까운 문의로 확인됩니다. 다음 층 진행 여부는 현재 층 진행 상태와 조건 충족 여부에 따라 달라질 수 있습니다. 보스 층이나 보상 조건이 궁금한 경우에는 현재 도전 중인 층과 진행 상황을 함께 확인해 주세요.","자동 안내 가능: 층 진행과 보상 조건 안내 문의입니다. predicted_category=tower_progress, urgency=low."
template_demo_009,번개 스킬이 어떤 적에게 연쇄되는지 설명해 주세요.,skill_combat,low,false,skill_combat_answer,"스킬 효과, 쿨타임, 피해 계산, 타격 판정 문의로 판단해 전투/스킬 안내로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 스킬 효과, 쿨타임, 피해 계산, 타격 판정 또는 전투 상호작용 관련 문의로 확인됩니다. 스킬은 대상, 범위, 발동 조건, 상태 효과에 따라 체감 결과가 달라질 수 있습니다. 특정 스킬이 기대와 다르게 보이는 경우에는 사용한 마법사, 대상 적, 전투 상황을 함께 확인하는 것이 좋습니다.","자동 안내 가능: 스킬/전투 규칙 안내 문의입니다. predicted_category=skill_combat, urgency=low."
template_demo_010,스킬 피해량 계산과 쿨타임 기준을 알고 싶습니다.,skill_combat,low,false,skill_combat_answer,"스킬 효과, 쿨타임, 피해 계산, 타격 판정 문의로 판단해 전투/스킬 안내로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 스킬 효과, 쿨타임, 피해 계산, 타격 판정 또는 전투 상호작용 관련 문의로 확인됩니다. 스킬은 대상, 범위, 발동 조건, 상태 효과에 따라 체감 결과가 달라질 수 있습니다. 특정 스킬이 기대와 다르게 보이는 경우에는 사용한 마법사, 대상 적, 전투 상황을 함께 확인하는 것이 좋습니다.","자동 안내 가능: 스킬/전투 규칙 안내 문의입니다. predicted_category=skill_combat, urgency=low."
template_demo_011,레조넌스 시도 후 재료가 사라지고 결과가 생성되지 않았어요.,bug_report,high,true,bug_triage,"진행 불가, 크래시, 보상/재화 손실 가능성이 있어 high 우선순위 버그 triage로 라우팅합니다.","제보해 주셔서 감사합니다. 이 내용은 실제 동작 오류나 진행 문제 가능성이 있어 검토가 필요한 문의로 확인됩니다. 확인을 위해 발생한 상황, 재현 순서, 사용한 마법사나 층 정보, 오류가 발생한 화면을 가능한 범위에서 알려주세요. 검토 후 원인 확인에 필요한 추가 정보가 있을 수 있습니다. 현재 문의는 우선 확인이 필요한 사례로 분류되었으므로, 재현 단계와 발생 시점을 최대한 구체적으로 남겨 주시면 검토에 도움이 됩니다.","사람 검토 필요: 오류 재현 정보와 상황 확인이 필요합니다. Router reason: 진행 불가, 크래시, 보상/재화 손실 가능성이 있어 high 우선순위 버그 triage로 라우팅합니다."
template_demo_012,층 보상을 받았는데 보상 화면이 표시되지 않고 골드만 사라졌습니다.,bug_report,high,true,bug_triage,"진행 불가, 크래시, 보상/재화 손실 가능성이 있어 high 우선순위 버그 triage로 라우팅합니다.","제보해 주셔서 감사합니다. 이 내용은 실제 동작 오류나 진행 문제 가능성이 있어 검토가 필요한 문의로 확인됩니다. 확인을 위해 발생한 상황, 재현 순서, 사용한 마법사나 층 정보, 오류가 발생한 화면을 가능한 범위에서 알려주세요. 검토 후 원인 확인에 필요한 추가 정보가 있을 수 있습니다. 현재 문의는 우선 확인이 필요한 사례로 분류되었으므로, 재현 단계와 발생 시점을 최대한 구체적으로 남겨 주시면 검토에 도움이 됩니다.","사람 검토 필요: 오류 재현 정보와 상황 확인이 필요합니다. Router reason: 진행 불가, 크래시, 보상/재화 손실 가능성이 있어 high 우선순위 버그 triage로 라우팅합니다."
template_demo_013,전설 마법사 등장 확률이 너무 낮아서 조정이 필요하다고 느낍니다.,feedback_balance,medium,true,balance_feedback_ack,"비용, 확률, 효율, 강약 평가가 포함되어 밸런스 검토 대상으로 라우팅합니다.","의견을 보내주셔서 감사합니다. 이 내용은 밸런스, 비용, 확률, 효율 또는 특정 조합의 강약에 대한 피드백으로 확인됩니다. 보내주신 의견은 게임 밸런스 검토 참고 자료로 정리할 수 있습니다. 다만 조정 여부나 적용 시점은 확정해서 안내드리기 어렵습니다. 이 문의는 담당 검토가 필요할 수 있으며, 확인 과정에서 추가 정보 요청이 있을 수 있습니다.","사람 검토 필요: 밸런스 정책 판단에 참고할 피드백입니다. Router reason: 비용, 확률, 효율, 강약 평가가 포함되어 밸런스 검토 대상으로 라우팅합니다."
template_demo_014,특정 스킬 조합이 지나치게 강해서 다른 조합의 가치가 낮습니다.,feedback_balance,medium,true,balance_feedback_ack,"비용, 확률, 효율, 강약 평가가 포함되어 밸런스 검토 대상으로 라우팅합니다.","의견을 보내주셔서 감사합니다. 이 내용은 밸런스, 비용, 확률, 효율 또는 특정 조합의 강약에 대한 피드백으로 확인됩니다. 보내주신 의견은 게임 밸런스 검토 참고 자료로 정리할 수 있습니다. 다만 조정 여부나 적용 시점은 확정해서 안내드리기 어렵습니다. 이 문의는 담당 검토가 필요할 수 있으며, 확인 과정에서 추가 정보 요청이 있을 수 있습니다.","사람 검토 필요: 밸런스 정책 판단에 참고할 피드백입니다. Router reason: 비용, 확률, 효율, 강약 평가가 포함되어 밸런스 검토 대상으로 라우팅합니다."
template_demo_015,초보자용 성장 가이드와 추천 빌드를 알려주세요.,gameplay_guide,low,false,guide_answer,"플레이 방법, 배치, 조합, 운영 팁 문의로 판단해 guide 답변으로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 플레이 방법과 운영 팁에 가까운 문의로 확인됩니다. 마법사는 적 이동 경로를 고려해 공격이 자주 닿는 위치에 배치하고, 초반에는 안정적으로 버틸 수 있는 조합을 먼저 구성해 보세요. 상황에 따라 속성 조합과 배치 위치를 바꾸면 더 안정적인 진행에 도움이 됩니다.","자동 안내 가능: 플레이 방법과 운영 팁 중심의 문의입니다. predicted_category=gameplay_guide, urgency=low."
template_demo_016,성장 단계가 오르면 공격력 보너스가 얼마나 달라지나요?,wizard_growth,low,false,growth_answer,"레벨업, 경험치, 성장 재료, 레조넌스 문의로 판단해 성장 안내로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 마법사 성장, 레벨업, 경험치, 성장 재료 또는 레조넌스 관련 문의로 확인됩니다. 이미 보유한 마법사를 강화하거나 성장시키는 경우에는 성장 재료, 경험치, 성장 단계 조건을 함께 확인해 주세요. 레조넌스나 성장 보너스는 획득 문의와 구분되는 성장 시스템으로 안내하는 것이 적절합니다.","자동 안내 가능: 성장, 경험치, 레조넌스 안내 문의입니다. predicted_category=wizard_growth, urgency=low."
template_demo_017,스킬 설명과 실제 효과가 다르게 보이는데 확인이 필요합니다.,skill_combat,low,false,skill_combat_answer,"스킬 효과, 쿨타임, 피해 계산, 타격 판정 문의로 판단해 전투/스킬 안내로 라우팅합니다.","문의해 주셔서 감사합니다. 이 내용은 스킬 효과, 쿨타임, 피해 계산, 타격 판정 또는 전투 상호작용 관련 문의로 확인됩니다. 스킬은 대상, 범위, 발동 조건, 상태 효과에 따라 체감 결과가 달라질 수 있습니다. 특정 스킬이 기대와 다르게 보이는 경우에는 사용한 마법사, 대상 적, 전투 상황을 함께 확인하는 것이 좋습니다.","자동 안내 가능: 스킬/전투 규칙 안내 문의입니다. predicted_category=skill_combat, urgency=low."
template_demo_018,층 선택 버튼을 눌렀는데 다른 층으로 이동합니다.,bug_report,medium,true,bug_triage,실제 동작 실패나 손실 가능성이 있어 버그 재현 확인 절차로 라우팅합니다.,"제보해 주셔서 감사합니다. 이 내용은 실제 동작 오류나 진행 문제 가능성이 있어 검토가 필요한 문의로 확인됩니다. 확인을 위해 발생한 상황, 재현 순서, 사용한 마법사나 층 정보, 오류가 발생한 화면을 가능한 범위에서 알려주세요. 검토 후 원인 확인에 필요한 추가 정보가 있을 수 있습니다. 이 문의는 담당 검토가 필요할 수 있으며, 확인 과정에서 추가 정보 요청이 있을 수 있습니다.",사람 검토 필요: 오류 재현 정보와 상황 확인이 필요합니다. Router reason: 실제 동작 실패나 손실 가능성이 있어 버그 재현 확인 절차로 라우팅합니다.
template_demo_019,타워 업그레이드 비용 대비 보상 효율이 낮은 것 같습니다.,feedback_balance,medium,true,balance_feedback_ack,"비용, 확률, 효율, 강약 평가가 포함되어 밸런스 검토 대상으로 라우팅합니다.","의견을 보내주셔서 감사합니다. 이 내용은 밸런스, 비용, 확률, 효율 또는 특정 조합의 강약에 대한 피드백으로 확인됩니다. 보내주신 의견은 게임 밸런스 검토 참고 자료로 정리할 수 있습니다. 다만 조정 여부나 적용 시점은 확정해서 안내드리기 어렵습니다. 이 문의는 담당 검토가 필요할 수 있으며, 확인 과정에서 추가 정보 요청이 있을 수 있습니다.","사람 검토 필요: 밸런스 정책 판단에 참고할 피드백입니다. Router reason: 비용, 확률, 효율, 강약 평가가 포함되어 밸런스 검토 대상으로 라우팅합니다."
template_demo_020,게임이 전투 중 멈춰서 진행이 안 됩니다.,bug_report,high,true,bug_triage,"진행 불가, 크래시, 보상/재화 손실 가능성이 있어 high 우선순위 버그 triage로 라우팅합니다.","제보해 주셔서 감사합니다. 이 내용은 실제 동작 오류나 진행 문제 가능성이 있어 검토가 필요한 문의로 확인됩니다. 확인을 위해 발생한 상황, 재현 순서, 사용한 마법사나 층 정보, 오류가 발생한 화면을 가능한 범위에서 알려주세요. 검토 후 원인 확인에 필요한 추가 정보가 있을 수 있습니다. 현재 문의는 우선 확인이 필요한 사례로 분류되었으므로, 재현 단계와 발생 시점을 최대한 구체적으로 남겨 주시면 검토에 도움이 됩니다.","사람 검토 필요: 오류 재현 정보와 상황 확인이 필요합니다. Router reason: 진행 불가, 크래시, 보상/재화 손실 가능성이 있어 high 우선순위 버그 triage로 라우팅합니다."
