language,topic,text,predicted_category,urgency,needs_human,suggested_response_type,response_draft,internal_note
ko,wizard_types,留덈쾿?ъ쓽 醫낅쪟媛 萸먯빞?,gameplay_guide,low,False,guide_answer,"기본 wizard element/type은 Fire, Water, Wind, Stone, Lightning 다섯 가지입니다. Unity WizardElement.cs 기준으로 Fire, Water, Wind, Stone, Lightning enum과 element별 wizard sprite 적용이 확인됩니다.","Knowledge topic: wizard_elements. Unity WizardElement.cs의 WizardElementType enum을 근거로 답변합니다. predicted_category=gameplay_guide, urgency=low."
ko,wizard_elements,?띿꽦? 萸먭? ?덉뼱?,gameplay_guide,low,False,guide_answer,"기본 wizard element/type은 Fire, Water, Wind, Stone, Lightning 다섯 가지입니다. Unity WizardElement.cs 기준으로 Fire, Water, Wind, Stone, Lightning enum과 element별 wizard sprite 적용이 확인됩니다.","Knowledge topic: wizard_elements. Unity WizardElement.cs의 WizardElementType enum을 근거로 답변합니다. predicted_category=gameplay_guide, urgency=low."
ko,legendary_wizards,?꾩꽕 留덈쾿?щ뒗 ?꾧뎄 ?덉뼱?,gameplay_guide,low,False,guide_answer,"전설 마법사는 Arden, Orphel, Lumiel, Novarin으로 정리할 수 있습니다. Arden은 Fire 계열 explosive fire damage dealer, Orphel은 Water 계열 freeze/control type, Lumiel은 Wind 계열 support and blessing type, Novarin은 Lightning 계열 special lightning type입니다.","Knowledge topic: legendary_wizards. Unity LegendaryWizard.cs에서 Arden, Orphel, Lumiel, Novarin enum과 원소 매핑을 확인했습니다. predicted_category=gameplay_guide, urgency=low."
ko,individual_legendary,?꾨Ⅴ?댁? ?대뼡 留덈쾿?ъ빞?,gameplay_guide,low,False,guide_answer,Arden은 Fire 계열 전설 마법사이며 explosive fire damage dealer로 안내할 수 있습니다.,"Knowledge topic: arden. Unity LegendaryWizard.cs에서 Arden -> Fire 매핑을 확인했습니다. predicted_category=gameplay_guide, urgency=low."
ko,fusion,?듯빀? ?대뼸寃???,gameplay_guide,low,False,guide_answer,"Fusion은 서로 다른 두 element wizard를 선택해 조합을 시도하는 deterministic gameplay system입니다. 같은 wizard 또는 같은 element끼리는 조합하지 않으며, 등록된 pair가 있을 때 fusion wizard가 생성됩니다. 지원되는 pair는 서로 다른 element 조합을 기준으로 처리됩니다.","Knowledge topic: fusion. Unity WizardFusionManager.cs에서 서로 다른 element pair와 prefab 기반 fusion 처리를 확인했습니다. predicted_category=gameplay_guide, urgency=low."
ko,fusion_example,遺덉씠??臾??⑹튂硫?萸먭? ??,gameplay_guide,low,False,guide_answer,"Fusion은 서로 다른 두 element wizard를 선택해 조합을 시도하는 deterministic gameplay system입니다. 같은 wizard 또는 같은 element끼리는 조합하지 않으며, 등록된 pair가 있을 때 fusion wizard가 생성됩니다. Fire + Water는 지원되는 fusion pair 중 하나이며 mist/안개 계열 fusion 예시로 안내할 수 있습니다.","Knowledge topic: fusion_examples. Unity WizardFusionManager.cs에서 서로 다른 element pair와 prefab 기반 fusion 처리를 확인했습니다. predicted_category=gameplay_guide, urgency=low."
ko,resonance,?덉“?뚯뒪??萸먯빞?,gameplay_guide,low,False,guide_answer,"공명/resonance는 마법사 성장 또는 강화 계열로 안내하는 것이 안전합니다. 신규 마법사 획득과는 구분되는 성장 시스템이며, 정확한 수치나 보상 결과는 현재 build의 안내를 기준으로 확인해야 합니다.","Knowledge topic: resonance. 공명은 성장 계열 안내로 처리하고 수치/보상 확정 약속은 피합니다. predicted_category=gameplay_guide, urgency=low."
ko,lost_resonance_material,?덉“?뚯뒪 ?щ즺媛 ?щ씪議뚯뼱,gameplay_guide,low,False,guide_answer,"공명/resonance 재료가 사라진 것처럼 보인다면 자동 확정 답변보다 human review로 다루는 것이 안전합니다. 발생 상황, 시점, 빌드, 스크린샷을 함께 남겨 주세요. 이 preview는 환불, 보상, 복구, 해결 시점을 약속하지 않고 사람이 검토할 수 있도록 정리합니다.","Knowledge topic: reward_loss_safe_reply. 손실/결제/환불성 문의이므로 보상, 복구, 환불을 약속하지 않는 human review tone을 사용합니다. 이 subtopic은 human review tone을 권장합니다. predicted_category=gameplay_guide, urgency=low."
ko,tower_floor,?ㅼ쓬 痢듭? ?대뼸寃??댁뼱?,gameplay_guide,low,False,guide_answer,"타워 floor 진행은 현재 선택한 floor, 완료 상태, unlock 조건에 따라 달라질 수 있습니다. 다음 층이 열리지 않으면 현재 floor 완료 여부와 build 내 안내를 먼저 확인해 주세요.","Knowledge topic: tower_floors. TowerFloor/TowerProgress 계열 구현이 있어 floor 진행 안내는 일반 조건 중심으로 제공합니다. predicted_category=gameplay_guide, urgency=low."
ko,boss,蹂댁뒪???몄젣 ?섏??,gameplay_guide,low,False,guide_answer,"보스 층이나 등장 시점은 현재 build의 tower/floor 진행 상태와 연결해 확인해야 합니다. 이 preview에서는 정확한 live release 일정이나 보스 등장 층을 확정하지 않고, 진행 중인 floor와 완료 상태를 함께 확인하도록 안내합니다.","Knowledge topic: boss_schedule. Tower 관련 문의는 확정 일정이나 미검증 보스 층을 약속하지 않습니다. predicted_category=gameplay_guide, urgency=low."
ko,pc_controls,PC?먯꽌??留덈쾿?щ? ?대뼸寃?諛곗튂??,gameplay_guide,low,False,guide_answer,"PC / Steam demo 기준으로 마법사는 mouse click 후 drag placement 방식으로 중앙 전장 영역 안에서 배치합니다. Unity WizardDragController.cs 기준으로 한 번에 하나의 wizard만 드래그하고, 지정된 이동 가능 범위 안에서 위치가 제한됩니다.","Knowledge topic: pc_controls. Unity WizardDragController.cs에서 mouse input, drag placement, 이동 범위 제한을 확인했습니다. predicted_category=gameplay_guide, urgency=low."
ko,fullscreen_resolution,?꾩껜?붾㈃?먯꽌 UI媛 ?댁긽??,gameplay_guide,low,False,guide_answer,"전체화면, 해상도, UI 표시 문제가 있으면 먼저 windowed/fullscreen 전환, 해상도 재선택, Steam demo 또는 Windows build 재실행을 확인해 주세요. 계속 재현되면 PC 해상도, fullscreen/windowed 상태, 스크린샷과 재현 순서를 함께 보내 주시면 검토에 도움이 됩니다.","Knowledge topic: fullscreen_resolution. 화면 표시 문제는 PC 해상도와 fullscreen/windowed 상태를 함께 확인하도록 안내합니다. 이 subtopic은 human review tone을 권장합니다. predicted_category=gameplay_guide, urgency=low."
ko,reward_loss,蹂댁긽??紐?諛쏆븯??,gameplay_guide,low,False,guide_answer,"보상 또는 진행 손실 가능성이 있는 문의는 자동 확정 답변보다 human review로 다루는 것이 안전합니다. 발생 상황, 시점, 빌드, 스크린샷을 함께 남겨 주세요. 이 preview는 환불, 보상, 복구, 해결 시점을 약속하지 않고 사람이 검토할 수 있도록 정리합니다.","Knowledge topic: bug_report_safe_reply. 손실/결제/환불성 문의이므로 보상, 복구, 환불을 약속하지 않는 human review tone을 사용합니다. 이 subtopic은 human review tone을 권장합니다. predicted_category=gameplay_guide, urgency=low."
ko,payment_refund,寃곗젣?덈뒗???꾩씠?쒖씠 ???ㅼ뼱?붿뼱,gameplay_guide,low,False,guide_answer,"결제, 환불, 아이템 미지급 문의는 자동으로 환불이나 지급을 약속하지 않고 human review로 접수해야 합니다. 발생 상황, 시점, 빌드, 스크린샷을 함께 남겨 주세요. 이 preview는 환불, 보상, 복구, 해결 시점을 약속하지 않고 사람이 검토할 수 있도록 정리합니다.","Knowledge topic: payment_refund_safe_reply. 손실/결제/환불성 문의이므로 보상, 복구, 환불을 약속하지 않는 human review tone을 사용합니다. 이 subtopic은 human review tone을 권장합니다. predicted_category=gameplay_guide, urgency=low."
en,wizard_types,What wizard types are available?,gameplay_guide,low,False,guide_answer,"The basic wizard element/types are Fire, Water, Wind, Stone, Lightning. Based on Unity WizardElement.cs, the game defines Fire, Water, Wind, Stone, and Lightning and applies a wizard sprite per element.","Knowledge topic: wizard_elements. Answer is based on the WizardElementType enum in Unity WizardElement.cs. predicted_category=gameplay_guide, urgency=low."
en,legendary_wizards,What are legendary wizards?,gameplay_guide,low,False,guide_answer,"The legendary wizards are Arden, Orphel, Lumiel, and Novarin. Arden is an explosive Fire damage dealer, Orphel is a freeze/control type, Lumiel is a support and blessing type, and Novarin is a special Lightning type.","Knowledge topic: legendary_wizards. Confirmed from Unity LegendaryWizard.cs: Arden, Orphel, Lumiel, and Novarin with element mapping. predicted_category=gameplay_guide, urgency=low."
en,resonance,What is resonance?,gameplay_guide,low,False,guide_answer,"Resonance is best described as a wizard growth or enhancement system. It is separate from acquiring a new wizard, and exact values or reward outcomes should be checked in the current build.","Knowledge topic: resonance. Treat resonance as growth guidance and avoid promising exact values or rewards. predicted_category=gameplay_guide, urgency=low."
en,fusion,How does fusion work?,gameplay_guide,low,False,guide_answer,"Fusion is a deterministic gameplay system where two different element wizards are selected and combined. The same wizard or the same element cannot be fused, and a fusion wizard is created only when the pair is registered. Supported pairs are handled as different-element combinations.","Knowledge topic: fusion. Confirmed different-element pair fusion and prefab lookup from Unity WizardFusionManager.cs. predicted_category=gameplay_guide, urgency=low."
en,pc_controls,How do I place wizards on PC?,gameplay_guide,low,False,guide_answer,"In the PC / Steam demo context, wizards are placed with mouse-based drag placement inside the central battlefield area. Based on WizardDragController.cs, one wizard is dragged at a time and movement is clamped to the allowed placement range.","Knowledge topic: pc_controls. Confirmed mouse input, drag placement, and clamped movement from Unity WizardDragController.cs. predicted_category=gameplay_guide, urgency=low."
en,payment_refund,I want a refund,gameplay_guide,low,False,guide_answer,"Payment, refund, or missing item inquiries should be handled by human review without promising a refund or item grant. Please include the situation, time, build, and screenshot for review. This preview does not promise refunds, compensation, restoration, certain fixes, or patch dates.","Knowledge topic: payment_refund_safe_reply. Loss/payment/refund inquiry: use human review wording without promising compensation, restoration, or refund. Human review tone is recommended for this subtopic. predicted_category=gameplay_guide, urgency=low."
